Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-12-15,124.339996,127.900002,124.129997,127.879997,127.096481,157243700,0.028470332265412037
2020-12-16,127.410004,128.369995,126.559998,127.809998,127.026901,98208600,0.0031394238085102988
2020-12-17,128.899994,129.580002,128.039993,128.699997,127.911453,94359800,-0.001551567178505813
2020-12-18,128.960007,129.100006,126.120003,126.660004,125.883957,192541500,-0.017835009887987908
2020-12-21,125.019997,128.309998,123.449997,128.229996,127.444328,121251600,0.025675884474705243
2020-12-22,131.610001,134.410004,129.649994,131.880005,131.071960,168904800,0.0020515462195004473
2020-12-23,132.160004,132.429993,130.779999,130.960007,130.157608,88223700,-0.009079880173127086
2020-12-24,131.320007,133.460007,131.100006,131.970001,131.161407,54930100,0.004949695136705197
2020-12-28,133.990005,137.339996,133.509995,136.690002,135.852509,124486200,0.020150734377538056
2020-12-29,138.050003,138.789993,134.339996,134.869995,134.043640,121047300,-0.023035189647913408
2020-12-30,135.580002,135.990005,133.399994,133.720001,132.900711,96452100,-0.013718844760011221
2020-12-31,134.080002,134.740005,131.720001,132.690002,131.877014,99116600,-0.010366944952760478
2021-01-04,133.520004,133.610001,126.760002,129.410004,128.617111,143301900,-0.030781904410368453
2021-01-05,128.889999,131.740005,128.429993,131.009995,130.207291,97664900,0.016448103161208146
2021-01-06,127.720001,131.050003,126.379997,126.599998,125.824326,155088000,-0.008769206007131155
2021-01-07,128.360001,131.630005,127.860001,130.919998,130.117844,109578200,0.019943884232284957
2021-01-08,132.429993,132.630005,130.229996,132.050003,131.240936,105158200,-0.0028693650991886126
2021-01-11,129.190002,130.169998,128.500000,128.979996,128.189728,100384500,-0.0016255592286467558
2021-01-12,128.500000,129.690002,126.860001,128.800003,128.010834,91951100,0.002334653696498084
2021-01-13,128.759995,131.449997,128.490005,130.889999,130.088028,88636800,0.01654243618136196
2021-01-14,130.800003,131.000000,128.759995,128.910004,128.120163,90221800,-0.014449533307732548
2021-01-15,128.779999,130.220001,127.000000,127.139999,126.361015,111598500,-0.01273489682198243
2021-01-19,127.779999,128.710007,126.940002,127.830002,127.046783,90757300,0.00039132102356636883
2021-01-20,128.660004,132.490005,128.550003,132.029999,131.221054,104319500,0.026193027321839795
2021-01-21,133.800003,139.669998,133.589996,136.869995,136.031387,120150900,0.02294463326731005
2021-01-22,136.279999,139.850006,135.020004,139.070007,138.217911,114459400,0.020472615354216434
2021-01-25,143.070007,145.089996,136.539993,142.919998,142.044327,157611700,-0.0010485006826064626
2021-01-26,143.600006,144.300003,141.369995,143.160004,142.282852,98390600,-0.0030640806519187827
2021-01-27,143.429993,144.300003,140.410004,142.059998,141.189590,140843800,-0.009551663298205618
2021-01-28,139.520004,141.990005,136.699997,137.089996,136.250046,142621100,-0.017416914638276434
2021-01-29,135.830002,136.740005,130.210007,131.960007,131.151489,177523800,-0.028491459493610382
2021-02-01,133.750000,135.380005,130.929993,134.139999,133.318130,106239800,0.0029158803738316926
2021-02-02,135.729996,136.309998,134.610001,134.990005,134.162918,83305400,-0.005451934147261033
2021-02-03,135.759995,135.770004,133.610001,133.940002,133.119339,89880900,-0.01340595953911173
2021-02-04,136.300003,137.399994,134.589996,137.389999,136.548203,84183100,0.007997035774093013
2021-02-05,137.350006,137.419998,135.860001,136.759995,136.125183,75693800,-0.004295675094473633
2021-02-08,136.029999,136.960007,134.919998,136.910004,136.274490,71297200,0.006469198018592816
2021-02-09,136.619995,137.880005,135.850006,136.009995,135.378647,76774200,-0.004464939410955075
2021-02-10,136.479996,136.990005,134.399994,135.389999,134.761551,73046600,-0.007986496423988838
2021-02-11,135.899994,136.389999,133.770004,135.130005,134.502731,64280000,-0.005665850139772495
2021-02-12,134.350006,135.529999,133.690002,135.369995,134.741623,60145100,0.007592027945275872
2021-02-16,135.490005,136.009995,132.789993,133.190002,132.571747,80576300,-0.01697544405581802
2021-02-17,131.250000,132.220001,129.470001,130.839996,130.232651,97918500,-0.003123839999999897
2021-02-18,129.199997,130.000000,127.410004,129.710007,129.107910,96856700,0.003947445912092351
2021-02-19,130.240005,130.710007,128.800003,129.869995,129.267151,87668800,-0.0028409857631686033
